#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","OperatingSystem"
"LAPEGYJXKNMV2","Windows 10 Pro"
"LAPEGYJ8RMZM2","Windows 10 Pro"
"LAPEGYHXPF4M2","Windows 10 Pro"
"LAPEGYHQCMJR2","Windows 10 Pro"
"LAPEGYHH9LJR2","Windows 10 Pro"
"LAPEGYH3VLJR2","Windows 10 Pro"
"LAPEGYGWXRZ52","Windows 10 Pro"
"LAPEGYGTXRZ52","Windows 10 Pro"
"LAPEGYGTJ9T32","Windows 10 Pro"
"LAPEGYGSM0TQ2","Windows 10 Pro"
"LAPEGYGKGRJR2","Windows 10 Pro"
"LAPEGYG36DP12","Windows 10 Pro"
"LAPEGYFRKD362","Windows 8.1 Pro"
"LAPEGYF5YWNV2","Windows 10 Pro"
"LAPEGYF1VLJR2","Windows 10 Pro"
"LAPEGYDZR0TQ2","Windows 10 Pro"
"LAPEGYDX2NJR2","Windows 10 Pro"
"LAPEGYDBSVL32","Windows 8.1 Pro"
"LAPEGYD04LJR2","Windows 10 Pro"
"LAPEGYCR39T32","Windows 8.1 Pro"
"LAPEGYCPW8YZ1","Windows 10 Pro"
"LAPEGYCG5FK72","Windows 10 Pro"
"LAPEGYC14LJR2","Windows 10 Pro"
"LAPEGYBZ3LJR2","Windows 10 Pro"
"LAPEGYBM7RNN2","Windows 10 Pro"
"LAPEGYBFDFZ52","Windows 8.1 Pro"
"LAPEGYBF9SM32","Windows 8.1 Pro"
"LAPEGY9ZKNMV2","Windows 10 Pro"
"LAPEGY9HTRZ52","Windows 10 Pro"
"LAPEGY9DNTN32","Windows 10 Pro"
"LAPEGY9643NF2","Windows 10 Pro"
"LAPEGY910BL72","Windows 10 Pro"
"LAPEGY7J9LJR2","Windows 10 Pro"
"LAPEGY72VLJR2","Windows 10 Pro"
"LAPEGY70RCG12","Windows 10 Pro"
"LAPEGY6M14NV2","Windows 10 Pro"
"LAPEGY5Y4DD72","Windows 10 Pro"
"LAPEGY5L14NV2","Windows 10 Pro"
"LAPEGY5F3R262","Windows 8.1 Pro"
"LAPEGY4XVBT32","Windows 10 Pro"
"LAPEGY4TYV5S1","Windows 7 Professional"
"LAPEGY4TRQSQ2","Windows 10 Pro"
"LAPEGY4RM0TQ2","Windows 10 Pro"
"LAPEGY424LJR2","Windows 10 Pro"
"LAPEGY3K9GM4J","Windows 7 Professional"
"LAPEGY3H9LJR2","Windows 10 Pro"
"LAPEGY3FB2L72","Windows 10 Pro"
"LAPEGY314LJR2","Windows 10 Pro"
"LAPEGY2Y3LJR2","Windows 10 Pro"
"LAPEGY2WRK8S2","Windows 10 Pro"
"LAPEGY2Q68L12","Windows 8.1 Pro"
"lapegy2LQXS32","Windows 7 Professional"
"LAPEGY1YDNMV2","Windows 10 Pro"
"LAPEGY1DPMZ52","Windows 10 Pro"
"LAPEGY16JD362","Windows 10 Pro"
"LAPEGY14VBL72","Windows 10 Pro"
"LAPDUB3W41Z52","Windows 8.1 Pro"
"kareemlaptop2","Windows 8.1 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Enterprise"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","unknown"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 8.1 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 10 Pro"
"COMPUTERX","Windows 7 Professional"
"COMPUTERX","Windows 7 Professional"
