"InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"5/30/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4018271"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4018271"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4018271","COMPUTERX","Security Update","","KB4018271",,"NT AUTHORITY\SYSTEM",,"",
"5/30/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4019263"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4019263"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4019263","COMPUTERX","Security Update","","KB4019263",,"NT AUTHORITY\SYSTEM",,"",
"5/30/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4019264"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4019264"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4019264","COMPUTERX","Security Update","","KB4019264",,"NT AUTHORITY\SYSTEM",,"",
"5/28/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4014504"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4014504"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4014504","COMPUTERX","Update","","KB4014504",,"NT AUTHORITY\SYSTEM",,"",
"5/28/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB4014579"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB4014579"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=4014579","COMPUTERX","Security Update","","KB4014579",,"NT AUTHORITY\SYSTEM",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3139914"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3139914"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3139914","COMPUTERX","Security Update","","KB3139914",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3139398"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3139398"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3139398","COMPUTERX","Security Update","","KB3139398",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3140245"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3140245"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3140245","COMPUTERX","Update","","KB3140245",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3147071"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3147071"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3147071","COMPUTERX","Update","","KB3147071",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3142024"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3142024"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3142024","COMPUTERX","Security Update","","KB3142024",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3138910"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3138910"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3138910","COMPUTERX","Security Update","","KB3138910",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3137061"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3137061"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3137061","COMPUTERX","Update","","KB3137061",,"DOMAIN\\userx",,"",
"4/19/2017 12:00:00 AM","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3135983"",ServicePackInEffect=""""","11","System.String[]","COMPUTERX","root\cimv2","\\COMPUTERX\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3135983"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=3135983","COMPUTERX","Security Update","","KB3135983",,"DOMAIN\\userx",,"",
