#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","OperatingSystem"
"LAPEGYJXKNMV2","Windows 10 Pro"
"LAPEGYJ8RMZM2","Windows 10 Pro"
"LAPEGYHXPF4M2","Windows 10 Pro"
"LAPEGYHQCMJR2","Windows 10 Pro"
"LAPEGYHH9LJR2","Windows 10 Pro"
"LAPEGYH3VLJR2","Windows 10 Pro"
"LAPEGYGWXRZ52","Windows 10 Pro"
"LAPEGYGTXRZ52","Windows 10 Pro"
"LAPEGYGTJ9T32","Windows 10 Pro"
"LAPEGYGSM0TQ2","Windows 10 Pro"
"LAPEGYGKGRJR2","Windows 10 Pro"
"LAPEGYG36DP12","Windows 10 Pro"
"LAPEGYFRKD362","Windows 8.1 Pro"
"LAPEGYF5YWNV2","Windows 10 Pro"
"LAPEGYF1VLJR2","Windows 10 Pro"
"LAPEGYDZR0TQ2","Windows 10 Pro"
"LAPEGYDX2NJR2","Windows 10 Pro"
"LAPEGYDBSVL32","Windows 8.1 Pro"
"LAPEGYD04LJR2","Windows 10 Pro"
"LAPEGYCR39T32","Windows 8.1 Pro"
"LAPEGYCPW8YZ1","Windows 10 Pro"
