#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer,,
name,userx,OperatingSystemVersion
PCJA6GXYRD2,Windows 10 Pro,10.0 (18362)
LAPEGYPF21SYW3,Windows 10 Pro,10.0 (18362)
LAPEGYJXKNMV2,Windows 10 Pro,10.0 (17763)
LAPEGYJ8RMZM2,Windows 10 Pro,10.0 (18363)
LAPEGYHXPF4M2,Windows 10 Pro,10.0 (17134)
LAPEGYHQCMJR2,Windows 10 Pro,10.0 (17134)
LAPEGYHH9LJR2,Windows 10 Pro,10.0 (17134)
LAPEGYH3VLJR2,Windows 10 Pro,10.0 (17134)
LAPEGYGWXRZ52,Windows 10 Pro,10.0 (17134)
LAPEGYGTXRZ52,Windows 10 Pro,10.0 (17134)
LAPEGYGTJ9T32,Windows 10 Pro,10.0 (17134)
LAPEGYGSM0TQ2,Windows 10 Pro,10.0 (17134)
LAPEGYGKGRJR2,Windows 10 Pro,10.0 (17134)
LAPEGYG36DP12,Windows 10 Pro,10.0 (18363)
LAPEGYFRKD362,Windows 8.1 Pro,6.3 (9600)
LAPEGYF5YWNV2,Windows 10 Pro,10.0 (17763)
LAPEGYF1VLJR2,Windows 10 Pro,10.0 (17763)
LAPEGYDZR0TQ2,Windows 10 Pro,10.0 (16299)
LAPEGYDX2NJR2,Windows 10 Pro,10.0 (17134)
LAPEGYDBSVL32,Windows 8.1 Pro,6.3 (9600)
LAPEGYD9JV8Y2,Windows 10 Pro,10.0 (18362)
LAPEGYD04LJR2,Windows 10 Pro,10.0 (17763)
LAPEGYCR39T32,Windows 10 Pro,10.0 (18363)
LAPEGYCPW8YZ1,Windows 10 Pro,10.0 (18363)
LAPEGYCG5FK72,Windows 10 Pro,10.0 (17133)
LAPEGYC14LJR2,Windows 10 Pro,10.0 (17134)
LAPEGYBZ3LJR2,Windows 10 Pro,10.0 (17134)
LAPEGYBM7RNN2,Windows 10 Pro,10.0 (17134)
LAPEGYBFDFZ52,Windows 10 Pro,10.0 (18363)
LAPEGYBF9SM32,Windows 8.1 Pro,6.3 (9600)
